epoch,total_loss,val_loss,data_loss,physics_loss,boundary_loss,source_loss,weight_data,weight_physics,weight_boundary,weight_source,learning_rate,grad_norm
1.0,10.950004577636719,0.06682035326957703,0.07371000200510025,108.06709289550781,0.001379947061650455,1.3911422491073608,1.0,0.1,0.02,0.05,2e-05,1008.5259399414062
2.0,7.828812599182129,0.06657328456640244,0.07363538444042206,76.85591888427734,0.0015163839561864734,1.391082763671875,1.0,0.1,0.02,0.05,3e-05,460.5567321777344
3.0,7.09682559967041,0.06627004593610764,0.07348375022411346,69.53768157958984,0.001228048698976636,1.3909698724746704,1.0,0.1,0.02,0.05,4e-05,505.6573486328125
4.0,6.180180072784424,0.06593431532382965,0.07330391556024551,60.37316131591797,0.0010964551474899054,1.3907661437988281,1.0,0.1,0.02,0.05,5e-05,453.6235656738281
5.0,6.30271577835083,0.0656634196639061,0.07313553243875504,61.60041046142578,0.0007402303162962198,1.3904874324798584,1.0,0.1,0.02,0.05,6e-05,440.6612854003906
6.0,4.75301456451416,0.06545493751764297,0.07300826907157898,46.10484313964844,0.0006242096424102783,1.390189290046692,1.0,0.1,0.02,0.05,7.000000000000001e-05,511.2143859863281
7.0,4.260543346405029,0.06531531363725662,0.0729260966181755,41.18115234375,0.0003886258346028626,1.3898828029632568,1.0,0.1,0.02,0.05,8e-05,698.18994140625
8.0,1.8685117959976196,0.06522422283887863,0.07286090403795242,17.261646270751953,0.0003178651968482882,1.389596700668335,1.0,0.1,0.02,0.05,8.999999999999999e-05,102.38209533691406
9.0,1.3422703742980957,0.06519734114408493,0.07285545766353607,11.999468803405762,0.00020799746562261134,1.3892773389816284,1.0,0.1,0.02,0.05,0.0001,86.85086059570312
10.0,0.983579158782959,0.06521393358707428,0.07288797199726105,8.412391662597656,0.00014477188233286142,1.3889826536178589,1.0,0.1,0.02,0.05,0.00011,97.74407196044922
11.0,0.7903333306312561,0.06525291502475739,0.07293811440467834,6.4796295166015625,9.494794358033687e-05,1.3886053562164307,1.0,0.1,0.02,0.05,0.00012,55.387210845947266
12.0,0.5994148850440979,0.0652989000082016,0.07299207150936127,4.570084095001221,6.393619696609676e-05,1.3882625102996826,1.0,0.1,0.02,0.05,0.00013000000000000002,86.2579345703125
13.0,0.5021191835403442,0.0653475821018219,0.07304602116346359,3.5967278480529785,4.522089511738159e-05,1.3879897594451904,1.0,0.1,0.02,0.05,0.00014000000000000001,36.14158248901367
14.0,0.36019665002822876,0.06539652496576309,0.07309682667255402,2.1771163940429688,2.8749414923368022e-05,1.3877519369125366,1.0,0.1,0.02,0.05,0.00015,15.205657005310059
15.0,0.2323293685913086,0.06544333696365356,0.07314710319042206,0.8980436325073242,1.707655428617727e-05,1.387551188468933,1.0,0.1,0.02,0.05,0.00016,5.230641841888428
16.0,0.2293873131275177,0.06548631191253662,0.0731978490948677,0.8682100176811218,1.087323107640259e-05,1.3873646259307861,1.0,0.1,0.02,0.05,0.00017,5.825901985168457
17.0,0.21061724424362183,0.06552404910326004,0.07324434071779251,0.6801340579986572,7.238630132633261e-06,1.3871870040893555,1.0,0.1,0.02,0.05,0.00017999999999999998,5.115785121917725
18.0,0.2060495913028717,0.06555460393428802,0.07328595966100693,0.6341243386268616,4.287496267352253e-06,1.3870220184326172,1.0,0.1,0.02,0.05,0.00019,10.360645294189453
19.0,0.17170476913452148,0.06557944416999817,0.07331956923007965,0.2904069721698761,2.8345109512883937e-06,1.386888861656189,1.0,0.1,0.02,0.05,0.0002,3.2224130630493164
20.0,0.16920292377471924,0.0655994713306427,0.07334715127944946,0.26516684889793396,1.9059914393437793e-06,1.386781096458435,1.0,0.1,0.02,0.05,0.00021,2.0994343757629395
21.0,0.1585177481174469,0.06561582535505295,0.07337012141942978,0.15813106298446655,1.4529856571243727e-06,1.3866899013519287,1.0,0.1,0.02,0.05,0.00022,1.002003788948059
22.0,0.15553751587867737,0.06562905758619308,0.07338923215866089,0.10606648027896881,9.577979653840885e-07,1.3866175413131714,1.0167126711541135,0.09837569154682367,0.019656990589303144,0.05083404419562464,0.00023,1.7798823118209839
23.0,0.15408581495285034,0.06563989073038101,0.07340515404939651,0.07962951064109802,7.096539320627926e-07,1.3865594863891602,1.0251466541179088,0.09754509401917022,0.01948628679341022,0.05125440330099388,0.00024,0.4647042155265808
24.0,0.15310879051685333,0.06564879417419434,0.07341846823692322,0.06045334413647652,5.110880465508671e-07,1.3865127563476562,1.0315809576568695,0.0969724317485677,0.019343898350649317,0.05157499036624938,0.00025,0.41768383979797363
25.0,0.15178796648979187,0.06565617769956589,0.07342967391014099,0.04058521240949631,4.3698580043383117e-07,1.3864752054214478,1.0359948621815145,0.09616993293978694,0.019328221402616818,0.051794736914488784,0.00026000000000000003,0.24420078098773956
26.0,0.151690274477005,0.06566236168146133,0.07343906909227371,0.03489651158452034,3.079171619901899e-07,1.3864452838897705,1.0391074936147904,0.09611125992847142,0.019215767693917935,0.05194957612022995,0.00027,0.26679202914237976
27.0,0.1516934037208557,0.06566764414310455,0.07344702631235123,0.033255718648433685,2.600665993668372e-07,1.3864209651947021,1.0401913729274432,0.09611069115253702,0.01917279077321016,0.052003108844333915,0.00028000000000000003,0.263350248336792
28.0,0.15151682496070862,0.0656721293926239,0.07345380634069443,0.028643161058425903,1.9449390720183146e-07,1.3864014148712158,1.0420449773325975,0.09600063412834733,0.019120884548008026,0.052095222699176415,0.00029,0.19067807495594025
29.0,0.15052956342697144,0.06567596644163132,0.07345962524414062,0.014900321140885353,1.8377397736912826e-07,1.3863853216171265,1.044403223966384,0.09538454981389621,0.01914996778202199,0.05221264443967773,0.0003,0.11519137024879456
30.0,0.15060189366340637,0.06567925959825516,0.07346460968255997,0.014208829030394554,1.3563003165018017e-07,1.3863720893859863,1.0453398027660261,0.09542769951365661,0.019104039343770744,0.05225906174544355,0.00031,0.10218922793865204
31.0,0.1504659652709961,0.06568209081888199,0.0734689012169838,0.011782651767134666,1.2007812699721399e-07,1.3863612413406372,1.0459924909199567,0.09534033276950696,0.01909554585411482,0.052291344433961634,0.00032,0.127579003572464
32.0,0.15064957737922668,0.06568455696105957,0.07347263395786285,0.013302840292453766,9.223135322145026e-08,1.3863521814346313,1.046231641054338,0.09545336543978841,0.019063494178708344,0.052302999780618024,0.00033,0.2815086841583252
33.0,0.15085017681121826,0.06568672508001328,0.07347587496042252,0.016071829944849014,9.485119534247133e-08,1.3863445520401,1.0457532101310856,0.09557650909256457,0.01905810499394302,0.05227882246230589,0.00034,0.2459290772676468
34.0,0.15068763494491577,0.06568866223096848,0.07347869127988815,0.013030259869992733,7.094111253991287e-08,1.3863383531570435,1.0466440315610455,0.0954737428738029,0.019043118085236305,0.05232313177195552,0.00035,0.1654752641916275
35.0,0.15030109882354736,0.06569036096334457,0.07348117232322693,0.007609103806316853,6.753989367780378e-08,1.3863329887390137,1.0475604392769473,0.09522997937321452,0.019055296591800993,0.05236874687004289,0.00035999999999999997,0.08274499326944351
